,Index,Column2,Gemeindename,Collection Status,Years,Gehört zu,Bevölkerung2) (insgesamt),je km2,Post-leit-zahl3),Geografische Mittelpunktkoordinaten Längengrad (Zuordnungsstand am 31.12.2017
3,4,10010000000,"Flensburg, Stadt",Collected,Ab 2005,,87432,1541,24937.0,"9,43751"
6,7,10020000000,"Kiel, Landeshauptstadt",Collected,Ab 2005,,247441,2085,24103.0,"10,13727"
9,10,10030000000,"Lübeck, Hansestadt",,,,216712,1012,23552.0,"10,683932"
12,13,10040000000,"Neumünster, Stadt",,,,79680,1112,24534.0,"9,988422"
15,16,10510011011,"Brunsbüttel, Stadt",,,,12801,196,25541.0,"9,13735"
17,18,10510044044,"Heide, Stadt",,,,21529,673,25746.0,"9,091156"
19,20,10515163003,Averlak,,,,576,64,25715.0,"9,182663"
20,21,10515163010,Brickeln,,,,220,36,25712.0,"9,221166"
21,22,10515163012,Buchholz,,,,1005,69,25712.0,"9,223774"
22,23,10515163016,Burg (Dithmarschen),,,,4128,368,25712.0,"9,26246"
23,24,10515163022,Dingen,,,,620,88,25715.0,"9,125804"
24,25,10515163024,Eddelak,,,,1363,148,25715.0,"9,137433"
25,26,10515163026,Eggstedt,,,,760,59,25721.0,"9,25927"
26,27,10515163032,Frestedt,,,,360,35,25727.0,"9,175759"
27,28,10515163037,Großenrade,,,,477,46,25712.0,"9,223435"
28,29,10515163051,Hochdonn,,,,1151,211,25712.0,"9,293145"
29,30,10515163064,Kuden,,,,611,54,25712.0,"9,192822"
30,31,10515163089,Quickborn,,,,179,26,25712.0,"9,206618"
31,32,10515163097,Sankt Michaelisdonn,,,,3420,148,25693.0,"9,122148"
32,33,10515163110,Süderhastedt,,,,836,53,25727.0,"9,20886"
34,35,10515166021,Diekhusen-Fahrstedt,,,,730,98,25709.0,"9,023165"
35,36,10515166034,Friedrichskoog,,,,2541,48,25718.0,"8,89741"
36,37,10515166046,Helse,,,,851,74,25709.0,"9,010226"
37,38,10515166057,Kaiser-Wilhelm-Koog,,,,349,27,25709.0,"8,926364"
38,39,10515166062,Kronprinzenkoog,,,,823,29,25709.0,"8,964528"
39,40,10515166072,"Marne, Stadt",,,,5796,1200,25709.0,"9,008761"
40,41,10515166073,Marnerdeich,,,,395,302,25709.0,"8,982956"
