year,regional_schlüssel,kreis_city,eligblvotrs,votrpart,vldsecndvotrs,CDU/CSU ,SPD,GRÜNE,FDP ,DIE LINKE,AfD,Sonstige Parteien
2017,5,  Nordrhein-Westfalen,13174577,75.4,9853377,3214013,2557876,744970,1293052,736904,928425,378137
2017,51,"    Düsseldorf, Regierungsbezirk",3736990,74.5,2757746,873413,711241,196852,386181,209943,268142,111974
2017,51110000000,"      Düsseldorf, Kreisfreie Stadt",413939,76.5,314456,95658,66711,31527,55217,28786,24997,11560
2017,5112,"      Duisburg, Kreisfreie Stadt",328202,68.7,221408,53576,72620,12337,20860,18915,29343,13757
2017,51130000000,"      Essen, Kreisfreie Stadt",419680,73.9,307703,84119,87154,23468,38675,25249,35155,13883
2017,51140000000,"      Krefeld, Kreisfreie Stadt",163278,71.5,115709,36907,28787,8968,16920,9393,9569,5165
2017,51160000000,"      Mönchengladbach, Kreisfreie Stadt",190552,69.3,130836,46786,30547,8169,17946,9627,12373,5388
2017,51170000000,"      Mülheim an der Ruhr, Kreisfreie Stadt",124310,77.5,95572,27160,27003,7055,13313,7395,10119,3527
2017,51190000000,"      Oberhausen, Kreisfreie Stadt",152264,72,108531,28171,36209,5678,10346,8978,14226,4923
2017,51200000000,"      Remscheid, Kreisfreie Stadt",77247,71.9,54977,17467,14226,3479,7350,3991,5847,2617
2017,51220000000,"      Solingen, Kreisfreie Stadt",112624,72.8,81222,25465,20151,6076,11710,6609,7874,3337
2017,51240000000,"      Wuppertal, Kreisfreie Stadt",241103,73.2,174837,47727,45062,14925,22324,18189,18931,7679
2017,5154,"      Kleve, Kreis",226096,74.8,167658,69700,39316,10098,22687,9366,11621,4870
2017,5154004,        Bedburg-Hau,9830,75.7,7384,3273,1740,401,962,355,458,195
2017,5154008,        Emmerich am Rhein,19487,72.6,14025,5308,4112,746,1675,783,1025,376
2017,5154012,        Geldern,25840,75,19250,8260,4161,1145,2633,1072,1381,598
2017,5154016,        Goch,24519,72.4,17571,7273,4083,976,2405,986,1331,517
2017,5154020,        Issum,9576,81.3,7730,3014,1970,435,1068,391,575,277
2017,5154024,        Kalkar,10395,75.2,7755,3330,1792,438,996,394,584,221
2017,5154028,        Kerken,10162,80,8086,3320,1820,526,1124,461,581,254
2017,5154032,        Kevelaer,21047,76.8,16040,6986,3462,930,2458,828,907,469
2017,51540036036,"        Kleve, Niederrhein",35744,69.2,24470,9350,5999,1724,3177,1722,1796,702
2017,5154040,"        Kranenburg, Niederrhein",5839,77.6,4477,2083,1022,290,563,203,206,110
2017,5154044,        Rees,17065,75.4,12770,5062,3481,830,1540,705,852,300
2017,5154048,        Rheurdt,5362,82.6,4405,1592,1071,327,639,279,347,150
2017,5154052,        Straelen,11432,78.1,8874,4459,1508,473,1291,372,500,271
2017,5154056,        Uedem,6248,77.1,4766,2116,999,229,724,253,336,109
2017,5154060,        Wachtendonk,6266,80.9,5034,2102,934,384,830,241,389,154
2017,5154064,        Weeze,7284,69.5,5021,2172,1162,244,602,321,353,167
2017,5158,"      Mettmann, Kreis",368473,77.6,283605,94727,67088,20395,45448,18674,26979,10294
2017,5158004,        Erkrath,33561,77.6,25860,8343,6187,1940,4030,1830,2693,837
2017,5158008,        Haan,23733,80,18873,6476,4105,1589,3321,1275,1540,567
2017,5158012,        Heiligenhaus,19095,75.9,14280,4644,3670,911,2170,911,1427,547
