year,regional_schlüssel,Austotal,Deutotal,Deu15_20,Aus15_20,Deu21_25,Aus21_25,Deu26_30,Aus26_30,Deu31_35,Aus31_35,Deu36_40,Aus36_40,Deu41_45,Aus41_45,Deu46_50,Aus46_50
2000,5111000,3205,6810,307,443,926,1127,1068,1990,624,2306,64,153,5,5,211,786
2000,5113000,1215,3931,132,268,351,679,380,1154,250,1347,24,84,1,1,77,398
2000,5114000,527,1777,48,235,135,280,196,492,103,547,9,47,0,1,36,175
2000,5116000,610,1948,61,178,167,399,197,568,133,589,7,27,0,0,45,187
2000,5117000,305,1100,33,52,81,139,103,347,59,418,6,21,1,0,22,123
2000,5119000,477,1657,64,333,157,261,139,418,83,488,6,26,0,1,28,130
2000,5120000,385,777,51,47,133,153,131,253,50,241,3,10,0,0,17,73
2000,5122000,558,1049,156,59,150,143,153,330,74,390,8,24,0,0,17,103
2000,5124000,967,2436,86,192,281,427,325,701,202,779,8,71,1,1,64,265
2000,5154004,9,99,1,2,3,10,2,29,2,43,1,1,0,0,0,14
2000,5154008,61,230,2,16,16,39,20,74,16,76,0,3,0,0,7,22
2000,5154012,42,275,8,16,15,29,8,75,8,123,0,1,0,0,3,31
2000,5154016,27,294,3,26,5,38,8,107,11,90,0,5,0,1,0,27
2000,5154020,8,91,0,4,2,12,2,33,3,33,0,3,0,0,1,6
2000,5154024,15,127,0,10,8,29,4,35,2,39,0,6,0,0,1,8
2000,5154028,10,91,1,4,2,8,4,29,3,38,0,0,0,1,0,11
2000,5154032,37,361,2,125,7,37,15,88,9,83,0,4,0,1,4,23
2000,5154036,66,343,7,18,16,59,20,117,13,118,3,5,0,0,7,26
2000,5154040,12,78,0,2,1,6,5,26,6,36,0,1,0,0,0,7
2000,5154044,18,206,2,10,3,34,5,66,7,82,0,4,0,0,1,10
2000,5154048,5,49,0,0,2,2,2,15,0,24,0,1,0,0,1,7
2000,5154052,12,138,0,4,3,20,4,43,5,53,0,1,0,0,0,17
2000,5154056,7,78,1,4,1,12,1,19,3,29,0,2,0,0,1,12
2000,5154060,5,68,0,1,2,9,3,19,0,33,0,0,0,0,0,6
2000,5154064,15,80,2,4,3,17,4,26,6,24,0,1,0,0,0,8
2000,5158004,93,329,7,17,21,45,45,93,16,121,1,6,0,0,3,47
2000,5158008,63,200,6,7,19,19,20,65,13,83,0,4,1,1,4,21
2000,5158012,70,165,4,5,26,30,21,46,14,61,2,3,0,0,3,20
2000,5158016,105,407,4,14,32,42,40,112,21,185,2,12,0,0,6,42
2000,5158020,79,440,9,15,19,48,27,119,23,194,0,13,0,0,1,51
2000,5158024,70,246,9,8,20,36,29,57,5,105,3,6,0,0,4,34
2000,5158026,93,309,10,24,29,49,31,91,16,109,1,4,0,0,6,32
2000,5158028,277,680,121,20,48,79,60,184,32,286,1,20,0,0,15,91
2000,5158032,231,575,19,30,80,88,78,184,39,186,4,11,1,0,10,76
2000,5158036,47,127,8,4,14,14,12,42,10,50,0,5,0,0,3,12
2000,5162004,127,464,6,17,42,67,51,139,20,177,2,11,0,0,6,53
2000,5162008,138,472,8,21,58,76,45,153,18,169,3,7,0,1,6,45
2000,5162012,22,188,4,6,6,26,5,54,5,76,0,3,0,0,2,23
2000,5162016,59,301,0,5,16,17,23,103,17,123,1,5,0,0,2,48
2000,5162020,47,306,1,10,8,31,19,90,11,129,2,4,0,1,6,41
2000,5162022,128,417,7,5,27,31,30,109,45,210,2,11,0,1,17,50
2000,5162024,364,1130,41,51,110,181,116,315,69,413,5,33,0,1,23,136
