,year,regional_schlüssel,Aus15,Aus16,Aus17,Aus18,Aus19,Aus20,Aus21,Aus22,Aus23,Aus24,Aus25,Aus26,Aus27,Aus28,Aus29,Aus30,Aus31,Aus32,Aus33,Aus34,Aus35,Aus36,Aus37,Aus38,Aus39,Aus40,Aus41,Aus42,Aus43,Aus44,Aus45,Aus46,Aus47,Aus48,Aus49,Aus50,Ausuknwn,Deu15,Deu16,Deu17,Deu18,Deu19,Deu20,Deu21,Deu22,Deu23,Deu24,Deu25,Deu26,Deu27,Deu28,Deu29,Deu30,Deu31,Deu32,Deu33,Deu34,Deu35,Deu36,Deu37,Deu38,Deu39,Deu40,Deu41,Deu42,Deu43,Deu44,Deu45,Deu46,Deu47,Deu48,Deu49,Deu50,Deuuknwn,Austotal,Deutotal,Deu15_20,Aus15_20,Deu21_25,Aus21_25,Deu26_30,Aus26_30,Deu31_35,Aus31_35,Deu36_40,Aus36_40,Deu41_45,Aus41_45,Deu46_50,Aus46_50
0,2000,5111000,0,8,20,56,89,134,137,178,163,229,219,247,216,201,216,188,182,112,119,113,98,10,8,28,15,3,2,2,1,0,0,1,78,53,51,28,0,4,25,45,89,123,157,163,213,215,267,269,321,339,424,453,453,530,521,456,432,367,31,7,65,45,5,3,2,0,0,0,0,282,236,168,100,0,3205,6810,307,443,926,1127,1068,1990,624,2306,64,153,5,5,211,786
1,2000,5113000,1,4,13,19,44,51,44,65,65,90,87,89,85,80,54,72,58,64,47,43,38,2,0,16,5,1,0,1,0,0,0,0,32,23,13,9,0,1,14,33,48,79,93,111,114,123,159,172,175,199,236,249,295,321,312,290,234,190,11,7,35,28,3,1,0,0,0,0,0,149,111,84,54,0,1215,3931,132,268,351,679,380,1154,250,1347,24,84,1,1,77,398
2,2000,5114000,0,0,2,7,18,21,19,27,30,24,35,37,56,30,44,29,24,20,18,30,11,4,0,4,1,0,0,0,0,0,0,0,9,10,12,5,0,111,5,13,20,43,43,36,56,58,79,51,71,93,105,107,116,144,130,113,96,64,6,1,20,17,3,1,0,0,0,0,0,61,53,37,24,0,527,1777,48,235,135,280,196,492,103,547,9,47,0,1,36,175
3,2000,5116000,0,2,3,13,19,24,38,25,28,52,24,38,41,40,37,41,33,36,16,24,24,1,1,2,2,1,0,0,0,0,0,0,18,17,6,4,0,2,7,28,26,50,65,63,70,86,86,94,97,98,115,128,130,126,138,114,111,100,3,3,14,5,2,0,0,0,0,0,0,64,62,41,20,0,610,1948,61,178,167,399,197,568,133,589,7,27,0,0,45,187
4,2000,5117000,0,3,2,4,7,17,10,20,15,23,13,19,18,18,32,16,12,9,10,14,14,1,0,4,0,1,1,0,0,0,0,0,6,6,5,5,0,0,1,4,7,15,25,16,16,28,41,38,44,55,76,75,97,95,97,87,76,63,2,4,9,4,2,0,0,0,0,0,0,45,37,22,19,0,305,1100,33,52,81,139,103,347,59,418,6,21,1,0,22,123
5,2000,5119000,0,0,2,2,26,34,23,32,36,32,34,34,28,27,27,23,28,22,13,12,8,1,0,2,2,1,0,0,0,0,0,0,9,9,8,2,0,223,6,12,26,27,39,43,58,50,52,58,54,72,76,111,105,106,132,85,84,81,3,4,11,6,2,1,0,0,0,0,0,49,32,32,17,0,477,1657,64,333,157,261,139,418,83,488,6,26,0,1,28,130
6,2000,5120000,0,1,4,7,21,18,32,21,20,35,25,34,22,20,31,24,19,11,8,8,4,0,0,0,3,0,0,0,0,0,0,0,7,1,7,2,0,0,4,2,11,10,20,29,27,27,32,38,44,42,42,63,62,55,57,62,33,34,4,0,4,2,0,0,0,0,0,0,0,28,20,13,12,0,385,777,51,47,133,153,131,253,50,241,3,10,0,0,17,73
7,2000,5122000,110,1,5,5,13,22,21,25,28,37,39,32,29,32,29,31,18,17,13,12,14,1,1,4,0,2,0,0,0,0,0,0,8,1,5,3,0,0,3,5,13,17,21,25,22,18,39,39,49,52,54,93,82,96,89,83,72,50,5,3,14,2,0,0,0,0,0,0,0,41,34,19,9,0,558,1049,156,59,150,143,153,330,74,390,8,24,0,0,17,103
8,2000,5124000,2,3,7,16,24,34,54,53,48,70,56,68,66,67,78,46,53,46,37,38,28,0,1,6,1,0,0,1,0,0,0,0,30,9,10,15,0,4,10,23,31,58,66,75,75,96,86,95,92,119,136,186,168,200,184,145,130,120,12,5,29,23,2,1,0,0,0,0,0,102,74,41,48,0,967,2436,86,192,281,427,325,701,202,779,8,71,1,1,64,265
9,2000,5154004,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,1,4,0,4,3,3,11,8,10,7,12,10,4,0,0,0,1,0,0,0,0,0,0,0,5,4,3,2,0,9,99,1,2,3,10,2,29,2,43,1,1,0,0,0,14
